Date,Year,Location,Aircraft Type / Registration,Fatalities,Operator,Latitude,Longitude
1/3/2004,2004,"Off Sharm el Sheikh, Egypt","Boeing B-737-3Q8
SU-ZCF",148/148(0),Flash Air,27.915817,34.32995
1/13/2004,2004,"Tashkent, Uzbekistan","Yakovlev YAK-40
UK-87985",37/37(0),Uzbekistan Airways,41.266667,69.216667
2/10/2004,2004,"Sharjah, United Arab Emirates","Fokker F-50
EP-LCA",43/46(0),Kish Airlines,25.3575,55.390833
5/14/2004,2004,"Near Manaus, Brazil","Embraer 120ER Brasilia
PT-WRO",33/33(0),Rico Linhas Aereas,-3.119028,-60.021731
5/25/2004,2004,"Near Lukla, Nepal","de Havilland DHC-6 Twin Otter 300
9N-AFD",3/3(0),Yeti Airlines,27.68566,86.727806
6/8/2004,2004,"Off Libreville, Gabon","BAe HS-748-232 Srs 2A
TR-LFW",19/30(0),Gabon Express,0.37909,9.42524
8/24/2004,2004,"Near Toula, Russia","Tupolev 134A-3
RA-65080",41/41(0),Volga-Avia Express,54.204836,37.618492
8/24/2004,2004,"Near Rostov-on-Don, Russia","Tupolev 154B-2
RA-85556",46/46(0),Sibir Airlines,47.233333,39.7
10/14/2004,2004,"Jefferson City, Missouri","Canadair CRJ200LR RegionalJet
N8396A",2/2(0),Pinnacle Airlines/Northwest Airlink,38.576702,-92.173516
10/19/2004,2004,"Near Kirksville, Missouri","Bae Jetstream 3201
N875JX",13/15(0),Corporate Airlines (American Connection),40.194754,-92.58325
11/18/2004,2004,"Caracas, Venezuela","BAe 3101 Jetstream 31
YV-1083C",3/21(0),Venezolana,10.46964,-66.803719
11/21/2004,2004,"Baotou, Inner Mongolia, China","Bombardier CRJ200
B-3072",53/53(0),China Eastern Airlines,40.657378,109.840349
11/30/2004,2004,"Solo, Indonesia","McDonnell-Douglas MD-82
PK-LMN",26/154(0),Lion Air,-7.566667,110.816667
2/3/2005,2005,"Near Khartoum, Sudan","Ilyushin 76TD
ST-EWB",7/7(0),Air West,15.500654,32.559899
2/3/2005,2005,"Near Peshawar, Pakistan","Boeing B-737-200
EX-037",104/104(0),Kam Air,34.014975,71.58049
2/22/2005,2005,"Bimin, Papua, New Guinea","de Havilland DHC-6 Twin Otter 300
P2-MFQ",2/13(0),Missionary Aviation Fellowship,-5.285691,142.032549
3/15/2005,2005,"Off Campbeltown, United Kingdom","Pilatus-Britten Norman BN-2B-26 Islander
G-BOMG",2/2(0),Loganair,55.422462,-5.588951
3/16/2005,2005,"Varandey, Russia","Antonov 24
RA-46489",28/52(0),Regional Airlines,68.824444,58.068889
3/26/2005,2005,"El Embrujo, Providencia Island, Colombia","Let-410UVP-E
HK-4146",8/14(0),West Caribbean Airways,13.35884,-81.359158
4/12/2005,2005,"Enarotali, Indonesia","de Havilland Canada DHC-6 Twin Otter 100
PK-LTZ",18/18(0),GT Air,-3.943903,136.379164
4/20/2005,2005,"Tehran, Iran","Boeing B-707-3J9C
EP-SHE",3/169(0),Saha Airline Services,35.696111,51.423056
5/7/2005,2005,"Lockhart River, Queensland, Australia","Swearingen SA-227AC Metro III
VH-TFU",15/15(0),Aero-Tropics,-12.787512,143.344561
6/2/2005,2005,"Khartoom, Sudan","Antonov AN-24B
ST-WAL",7/42(0),Marsland Aviation,15.500654,32.559899
7/16/2005,2005,"Baney, Equatorial Guinea
","Antonov AN-24B
3C-VQR",60/60(0),Ecuatair,3.638801,8.858331
8/2/2005,2005,"Toronto, Canada","Airbus A-340
F-GLZQ",0/309(0),Air France,43.653226,-79.383184
8/6/2005,2005,"Off Palermo, Italy","ATR-72-202
TS-LBB",16/39(0),Tuninter,38.308797,13.4198
8/14/2005,2005,"Near Grammatikos, Greece","Boeing 737-31S
5B-DBY",121/121(0),Helios Airways,38.203119,23.963219
8/16/2005,2005,"Near La Cucharita, Venezuela","McDonnell Douglas MD-82
HK-4374X",160/160(0),West Caribbean Airways,11.432778,-69.148333
8/23/2005,2005,"Near Pucallpa, Peru","Boeing B-737-244
OB-1809",40/98(0),TANS Peru,-8.392862,-74.582617
9/5/2005,2005,"Isiro, Democtratic Republic Congo","Antonov 26B
ER-AZT",11/11(0),Kavatshi Airlines,2.772236,27.608277
9/5/2005,2005,"Medan, Indonesia","Boeing 737-230
PK-RIM",99/117(44),Mandala Airlines,3.59154,98.6693
9/9/2005,2005,"Near Brazzaville, Congo","Antonov AN-26A
9Q-CFD",14/14(0),Air Kasai,-4.267778,15.291944
10/4/2005,2005,"Aru, Democratic Republic Cogo","Antonov 12V
9Q-CWC",2/100(0),Wimbi Dira Airways,-2.8667,30.85
10/22/2005,2005,"Lisa, Nigeria
","Boeing B-737-2L9
5N-BFN",117/117(0),Bellview Airlines,19.667345,-101.197709
11/19/2005,2005,"Stupino, Russia","Cessna 208B Grand Caravan I
4P-OIN",8/8(0),Ivolga Avia,54.904044,38.080351
12/8/2005,2005,"Chicago, Illinois","Boeing B-737-7H4
N471WN",0/103(1),Southwest Airlines,41.786721,-87.744026
